episode_rewards,episode_items_collected
136.28745950587998,139
170.76182884073734,174
135.876975642574,141
173.54747910730168,173
93.54803218391686,117
412.7391912880924,397
314.4966590287017,313
82.88405218058054,92
57.376345835808216,91
436.655673348591,413
89.40217722986058,92
173.22787352351605,177
165.38081453383265,174
137.66998038857986,155
174.1365024741487,176
183.4432773193533,190
269.8809061225209,271
144.503162355595,148
196.13365004151976,210
125.39349509125414,130
369.62010012751045,351
193.80122588702423,206
84.99857742411766,90
148.88973898790397,153
121.29537508620449,123
139.11209085091178,141
245.850169125355,241
84.3566476384591,92
138.6668927847448,144
171.37807001855802,187
131.16162819200935,136
355.92719001412024,358
288.46769519883355,296
205.5426713465282,208
193.36037415186567,210
88.0274852956554,109
239.71279993999957,239
323.2054234602572,316
298.8723029338285,304
192.59588702297688,191
164.67632136547198,167
150.7510563446424,153
185.94339603162305,187
287.29543897585773,286
189.77820386372213,189
146.40448359079528,148
75.50616766918964,106
180.88646883794166,185
305.8071524679783,300
133.19251998266702,136
244.90317313545944,247
187.53078665010227,187
436.362102102453,411
175.82022861824703,176
351.88444759526107,347
556.6697544421603,485
142.2032632663341,142
116.57464469591176,121
162.3031222031222,166
105.28030583387299,106
147.78499978591452,157
157.59367252719278,158
83.92835848394506,112
154.9675612137793,157
404.31583059989185,407
211.03876952413825,212
377.99628632839307,366
156.6796923977938,172
156.11084417073536,159
257.1563168988182,257
163.08038112504175,172
103.95619750697222,114
125.34624075689057,132
202.8571016249124,204
205.81745542407404,205
142.44588549142514,146
111.51707863799639,124
343.22765692874856,341
115.97468510939576,123
129.37442236177085,131
243.0728457685886,241
357.73336701517286,355
329.63367148861954,321
153.0,157
180.22449979854355,182
140.24990398471675,144
306.667255646927,303
119.93284604163532,120
122.23879439164418,125
166.07163004600733,169
259.4742775289408,258
140.56884376567626,146
129.0047271682345,132
176.41773574376546,182
289.6835066524496,286
261.00308564406964,263
208.50718886363296,209
289.6269347117189,291
141.16846411476894,139
169.9585134814845,171
258.6342632891218,258
177.88627644988068,182
238.65590684418063,237
567.7311871449576,494
267.2853804165197,262
198.46439745761356,202
354.0073916646041,343
304.9966120316709,291
167.37720000773984,167
354.1184861683498,342
181.61464503472396,185
135.16731331939104,136
307.15464556839805,301
52.18948384368271,58
150.9931691770703,155
147.91772409927466,149
140.0,141
157.97952417702533,158
153.93286287037608,156
67.12391661657144,100
290.12788693253515,288
147.47700498001745,149
346.00662183024883,337
366.40532451861225,355
146.1421322555426,149
558.5871116252958,480
243.06399375059803,242
228.55288752639487,224
255.18522453725285,262
196.9781829080706,195
127.27674688603506,126
460.02980732200507,426
464.7518910213212,439
628.2577171286796,557
446.8561330520318,419
189.74568285397322,186
176.33665481524304,175
215.31202823799268,210
264.94555287969786,267
419.49667104393546,391
215.5622414521659,212
144.3389929609636,148
144.25021221941893,143
247.32880654187073,250
174.66034168585222,174
189.2279554957306,188
79.91394717069919,88
200.69990217371597,199
462.1378044988407,420
278.31054339053946,272
152.7625079559886,153
147.94842125147238,148
267.5161063844324,267
148.0424838135069,168
200.01714272181832,201
155.36696605989488,154
351.89095979361474,345
69.44896446180437,71
100.32171773964622,115
192.8494087006123,191
162.47451213311217,163
345.67925267331026,332
196.3739160598757,194
135.42796940253683,141
192.88362825483895,192
309.95518668188294,300
157.6807354690534,160
220.84525480960752,219
149.81737015782824,149
219.58428736450793,220
591.1381116601291,516
120.15689681556454,138
305.2006360101195,306
313.25741607278434,306
130.7185568795491,138
265.811833825415,267
170.54180577230926,173
98.2455366604158,99
127.9619294462122,149
200.4733126378633,199
164.3995139125819,165
294.7561706192143,296
136.8932279043615,136
244.62459786791683,243
329.60807031775664,320
340.89184056280186,327
196.9371494794518,198
284.1433357824234,277
331.6243899064257,327
170.49626393109043,171
193.7105486685345,194
444.5465583852752,411
359.30057442454495,340
65.72089886159335,98
259.2869394001948,252
197.9351030340201,194
162.6844458311273,162
335.7081257854678,322
155.59480529354738,159
141.562597118143,154
241.72525884644006,235
290.9603587590691,287
225.94761467618315,227
207.14419093280404,213
152.14360842638965,151
181.45017203215463,179
242.70268336929246,240
156.2660227231737,157
269.8473809003549,268
253.69004083764736,251
394.03142917227484,381
195.42959719110954,192
498.37511022566457,460
185.12329983885576,181
70.35745975564592,71
297.04893404659157,290
664.1911246598777,572
241.12567983233856,238
147.9565890375776,150
179.75247969882182,184
158.85274477271415,159
238.24164483615917,238
284.57477693559866,285
186.1437708123214,184
165.3453665971349,166
75.55122636541489,83
146.36758151166416,147
163.69570388099982,185
99.27388008977664,102
55.093840964793884,60
155.75151573713674,155
180.44618831068746,182
180.730675579608,180
394.29220379060894,370
158.0,158
189.4369943486952,187
280.2822756298341,275
190.98852783914583,188
132.73450314881973,131
149.6529265083021,152
270.35101103015955,272
107.66063882505144,130
274.11446174926857,270
430.1325183762409,414
164.1988789881937,174
72.22002714594704,74
63.0,64
246.7630814918555,244
113.8125684619313,116
51.22071616858106,53
279.5247360771083,278
341.4934620290595,326
240.07729484354982,240
311.63456526113447,307
159.5827116743619,159
426.22150206011776,410
240.2592353652596,241
124.98275520978483,126
252.96411942656573,251
241.6103563365263,239
142.05830680953397,148
135.57568808539185,135
287.41917786091295,286
171.46224825338,171
214.6805220565484,225
109.47366401608478,133
119.13610603687547,125
138.0,139
144.74618126137347,146
586.6614916258961,515
228.82860068556778,230
147.78455598091284,150
351.5511279793094,336
112.66867888462049,113
245.3030306526148,242
273.65568484508185,271
152.8014575563801,154
109.69440280798352,113
154.38331612803788,157
280.1932044632728,268
232.29328970373257,231
144.25355557872223,145
67.94037639996105,68
200.30139738261076,199
162.33162737771988,167
127.90445313327623,138
139.62062277574478,140
184.73686428813144,187
309.55089865875357,311
228.67090179630515,226
181.91317429296026,186
133.91228103815362,132
212.91423012969688,212
112.90712844484722,128
203.77543685065385,203
609.9217777170888,526
655.5496332153958,552
213.38212367039625,215
224.6000052460647,223
226.06810481283145,219
146.33806012416082,147
201.1240671158601,203
417.0467799803671,406
155.9964867066606,158
638.9092243669598,556
130.3523143539294,135
167.84478102022737,167
309.88810760618907,299
145.02892931891685,146
485.8341653976599,442
247.526731451043,245
280.57315446500945,271
164.57609850241025,173
371.4982575405794,351
215.64231394605903,212
194.77445187845436,193
242.40548632869715,239
227.6232723150776,223
79.7567353235934,84
168.78056072830572,170
119.65911302606796,137
265.50456898054796,263
670.1173027090889,579
207.7398674949289,207
93.35850044901086,124
265.18158362776217,258
338.86921238588377,328
174.81081900041872,174
171.40034207161762,172
217.55811766106788,216
241.41979131106555,239
238.1416988518039,230
396.92545812296595,378
183.13850759736536,183
80.01478687249859,81
176.56765965724767,177
213.85824233715752,210
411.4670150023603,401
47.36215741073105,49
353.6042093613501,338
174.26807474146773,175
158.01657485395916,165
135.57956782157333,135
256.3035176977382,253
183.66039840161264,187
179.49262398719029,182
226.89756745226188,228
222.40290625634063,223
216.27006922329048,218
185.61245502046108,186
339.66472478836494,333
486.55522294602855,446
372.41446335539086,361
264.7940920071109,261
195.1106806980373,194
156.8044177880478,157
246.28152115258862,240
380.11670971219326,371
140.80273096894985,141
182.91525923532,181
144.73462312475633,145
229.11210201031625,226
197.31850550308513,195
133.78173646663632,137
259.68037055644595,259
238.6110623981676,236
199.35061457033473,198
64.5354377163343,65
182.2465234532113,182
232.8999869783215,234
296.0014135842179,291
123.17970930499315,132
227.29092762043396,230
87.71641952209947,117
180.13607268211973,182
164.31792841779293,166
184.01070999416635,184
258.74779970894986,255
219.30836447264682,227
339.62642516244136,328
197.4567551501952,205
236.9399611421458,236
141.61642215038182,143
185.7590977031355,186
260.76871696593224,260
225.76061560964357,232
181.088717426427,184
172.9313686456755,173
365.2361834951562,362
285.05013748867094,281
233.39410905399515,231
351.44718765276815,341
200.537403336238,201
501.50827384906097,467
210.270105450876,210
254.05225307109498,250
648.2543015986557,550
345.34287699187007,337
147.85598324103933,148
141.97434706089683,143
128.15203189649026,133
209.66405732892775,206
118.04231343314993,121
157.40547001948164,158
105.53315683052139,110
418.92191648747416,397
293.94248237151686,290
182.73523331810597,184
136.98197820583493,138
107.69386385153892,108
496.11110918219765,457
213.30756430252526,212
512.7945462952421,464
171.343075915503,171
182.48674651404437,181
152.46446228493906,154
233.27105209302675,230
284.1635570319947,276
89.8385982641736,90
324.46326839740993,322
198.47886686748305,200
142.50180086305863,147
174.16851862196057,176
433.61762901798465,419
225.78714978528123,225
189.49146148673088,188
229.95659266527468,227
471.114319842742,452
114.40311441877257,123
172.0,173
176.5891932783725,180
362.92491454624866,354
162.92416471787863,162
241.33088761194904,248
315.92782078756875,301
82.52958941084724,116
71.96429193102608,74
223.1644145108786,230
153.711718420801,156
281.9777702538318,276
170.93163868855677,171
362.9438978699324,350
156.95839518519207,155
290.4163121234173,280
230.19730196495587,229
238.23044510018684,238
242.17460511251468,249
232.791636888294,226
179.50740143131907,176
158.54423488616976,160
232.622704568607,230
148.33573672286434,154
233.66772637469356,233
354.22085009512773,340
292.3299083237483,288
148.40694833268958,147
215.7089883459045,219
195.4327711925278,196
215.95348227071872,215
296.14864287914304,294
140.75200361679902,144
245.74408001156155,241
145.7403986209315,149
153.6296710502856,152
232.06277254793673,233
151.73381798067325,151
263.9325814894562,259
185.34287769751927,184
92.92381646388698,96
148.537294127074,148
321.0156434300751,319
356.017324268125,350
317.9098254484233,309
345.6489684341783,334
259.1198368321453,258
322.8425575889383,322
217.9313493986102,217
358.345998428833,347
155.4083073974496,156
508.0052265021536,472
186.6714311912195,184
154.49391590641454,156
163.3742276298155,164
62.54155830042146,64
70.62527501571174,74
159.66113569554278,159
370.70266220403454,360
428.7764832172886,414
270.87882330334463,267
206.08275058770792,207
163.01252020538942,162
421.967615322709,404
172.78821580277952,172
256.3709333695031,250
213.08193870389667,216
124.35829477341649,129
158.31667893878614,159
152.83978934887506,155
96.32270500881272,131
246.04940589152542,238
116.09759901135638,140
669.8169669278611,589
347.5606261277889,342
314.67525282899265,307
233.01444434031293,238
136.1035658420283,138
173.3696796745133,172
210.31705839109685,210
292.3575942413659,281
303.73115504255395,297
515.1221053554589,484
154.01410379043904,153
197.96703470909466,196
41.176870478774816,47
249.18876666052688,247
186.60115626857123,199
460.9982604395684,439
69.77176769244076,111
186.31827668918527,188
161.04465656607914,162
140.27986205134016,144
339.7174947076185,330
301.0830210895641,294
348.57569737654444,350
164.44933380452974,164
203.12668984161368,206
23.04787743607374,39
438.3814496293725,419
219.015476704642,217
200.1979812214364,200
174.10130151881543,179
100.46731193610019,132
147.39236420109052,150
159.96546009539654,165
243.500630166865,245
303.02937199935826,298
514.2758136109491,487
235.95065067671484,237
176.07848023710395,177
261.75516672246124,259
262.41804826208124,264
253.2693528731385,253
90.24734271884361,98
517.3093156921242,488
234.89280314557385,238
492.4621391099772,468
135.44918213033768,141
184.72623188491968,188
178.82116358852358,180
187.97613242692228,185
200.23842965123418,197
224.61316183049766,227
307.1551576877568,303
649.8576758248028,556
160.42198422003597,167
201.34115384253874,201
185.3026748100893,185
160.81946314645882,170
172.63881850078397,172
263.3502916898074,265
128.47598995162284,140
205.13516698125719,204
396.70805682200887,376
265.8748066572336,266
132.912509256717,136
159.21559772087295,161
153.12715558488145,154
132.3457687987682,153
219.36698784181536,217
160.26216576324438,162
190.97341359328206,192
646.1247715472266,575
259.0010086976411,257
43.94629238056231,96
185.61306586174462,188
137.10968495562798,149
166.19354928230146,168
162.41801771834145,163
272.7993738626274,272
177.8992683808249,177
474.85870494922005,451
493.46496723665274,467
165.70055842528126,166
187.95418657745188,187
252.06753412658009,254
185.60867607440613,185
116.50925636145419,119
152.69741406101977,155
209.98719080964264,209
145.725186011843,145
484.8417321600632,456
195.45851152437012,195
147.83549394135673,151
116.26855044441767,122
227.6766864715137,228
187.11490705385222,187
182.65795795173256,184
417.0883346898995,401
225.93107950969952,224
286.77303021625534,279
244.26889473445388,243
148.024746501283,147
279.55323262567487,277
210.2943031090453,211
134.47044625264158,136
245.89750715220785,244
159.59235527288922,159
165.4602325494276,166
139.31146605413966,143
180.86531916393417,180
