episode_rewards,episode_items_collected
275.7243077571001,268
189.2650408885204,190
121.92939521664519,143
116.25300900332027,123
206.36474907513627,210
413.7142030652003,401
76.21094761991047,108
151.9539535159098,153
138.0026745754492,137
52.26543179312785,91
142.08271741269607,145
69.90898773031657,100
269.9152961697453,268
173.10623253639548,183
238.7673340575207,245
169.76475555040145,177
229.11933929758715,234
94.18091728786322,97
130.41507345737892,134
106.55446067285416,123
170.0564201302403,175
104.36833548573925,109
99.70506783855102,106
182.37294903549136,181
223.62297349081078,221
116.33406540291831,128
156.4123723873116,161
158.77199402656368,162
126.0826133442286,129
151.30133630871464,156
202.58225576327646,203
447.42248500122525,426
54.237630253409556,55
144.53456861368707,153
208.56173736500352,211
147.9915023030154,160
194.19766798977713,194
382.8977900564704,370
273.9283218067902,270
172.95580673395727,175
86.69092555652404,116
135.09261508599457,138
200.28040037582556,203
350.3022458142244,344
458.1698809757152,427
224.03459595456144,221
198.60191257187512,203
164.9048293442531,166
136.3528585821348,137
492.5162887544313,428
142.7641105982067,145
215.18357827495882,214
138.52500320157807,139
148.797397314264,150
366.9995349347342,351
185.94482068168284,191
149.6635912905947,150
142.16339447810293,141
227.98043296916472,228
185.76736172546111,183
532.8736363600715,478
167.0360975119359,167
135.95520637038436,137
126.5141500406144,129
182.9596586016012,179
128.58328430561338,131
130.98396576528745,132
52.83789912202377,53
324.02101447652524,317
559.7875622018958,489
292.2455775710617,290
200.83402521708766,202
148.55788566367352,149
151.19254993434302,155
185.15860128802726,187
91.35031441764546,111
271.01221590559356,267
211.96772137330873,213
163.99820545534453,165
142.35362750396706,144
187.31701695453532,189
196.08453662212335,199
230.66804984180658,231
348.7113468613929,344
335.17687240077055,333
251.6203210512591,250
133.87107130201136,134
168.4813178495471,168
197.777056237627,196
66.76984166517632,67
142.8768289354571,144
130.84912750467316,133
239.9403671311691,235
142.07383460246447,141
176.25514935649502,176
215.01301134698562,217
182.0264144876806,179
172.6087071385884,174
151.38179633826576,154
85.47243808964133,88
295.7770979651168,286
134.60227909502123,136
346.0503326973495,338
237.99651223790204,234
176.70151469951938,176
224.8010559362599,222
328.83439125122214,321
177.76535548760228,187
125.45491463321487,141
51.62874227471892,92
138.89000470742715,140
212.81898541429695,211
201.60754225369607,205
197.9752348454139,211
322.23604093996676,312
157.13217983588052,161
153.6056315138478,154
363.28491981851874,342
145.10897581754992,157
137.36180996292603,140
130.13060391004885,133
